HTR: NOTI01181/NOTI01181000019.xml#r3l2         | buker
GT : 12788_NOTI01181/NOTI01181000019.xml#r4l2   | bukes

HTR: NOTI01181/NOTI01181000019.xml#r3l8         | Anthonij Wagener qq
GT : 12788_NOTI01181/NOTI01181000019.xml#r4l8   | Anthonij Wagener

HTR: NOTI01181/NOTI01181000019.xml#r3l8         | Anthonij Wagener qq
GT : 12788_NOTI01181/NOTI01181000019.xml#r4l9   | qq

HTR: NOTI01181/NOTI01181000019.xml#r3l11        | & G:
GT : 12788_NOTI01181/NOTI01181000019.xml#r4l12  | 2

HTR: NOTI01181/NOTI01181000019.xml#r3l11        | & G:
GT : 12788_NOTI01181/NOTI01181000019.xml#r4l13  | G

HTR: NOTI01181/NOTI01181000019.xml#r2l2         | No: 166.
GT : 12788_NOTI01181/NOTI01181000019.xml#r3l2   | No: 166

HTR: NOTI01181/NOTI01181000019.xml#r2l10        | No: 232.
GT : 12788_NOTI01181/NOTI01181000019.xml#r3l8   | No: 232

HTR: NOTI01181/NOTI01181000019.xml#r2l14        | No: 245
GT : 12788_NOTI01181/NOTI01181000019.xml#r3l11  | No. 245.

HTR: NOTI01181/NOTI01181000019.xml#r1l9         | Wede. van Mr Johan de Haamer (Cornelia Florentina Raven
GT : 12788_NOTI01181/NOTI01181000019.xml#r1l7   | Wede. van Mr Johan de Haamer (Cornelia Florentina Raven)

HTR: NOTI01181/NOTI01181000019.xml#r1l10        | acte van Borgtogt door Margareta Selkart wede:
GT : 12788_NOTI01181/NOTI01181000019.xml#r1l8   | acte van Borgtogt door Margareta Selkart wede

HTR: NOTI01181/NOTI01181000019.xml#r1l12        | 8 Octob: Weduwe van Jacob Berckhuijsen (Emerentia Lonk
GT : 12788_NOTI01181/NOTI01181000019.xml#r1l10  | 8 Octob: Weduwe van Jacob Berckhuijsen (Emerentia Lonk)

HTR: NOTI01181/NOTI01181000019.xml#r1l14        | 15 Octob: Weduwe van Jacobus van der Aa CCatarina Verschuur)
GT : 12788_NOTI01181/NOTI01181000019.xml#r1l12  | 15 Octob: Weduwe van Jacobus van der Aa (Catarina Verschuur)

HTR: NOTI01181/NOTI01181000019.xml#r1l21        | 22 Octob: Weduwe van Ane Esges (Geertje Alberts)
GT : 12788_NOTI01181/NOTI01181000019.xml#r1l18  | 22 Octob: Weduwe van Ane Esgens (Geertje Alberts)

HTR: NOTI01181/NOTI01181000019.xml#r1l25        | van Jan Vrijthof (Aaltje Klinckerts) en Cos: proc
