PATTERN	COUNT	TOKENS	COVERAGE	CATEGORY	SIZE	FREQUENCY
van de	247369		494738	0.00662436	ngram	2	0.00486589
voorsz .	214880		429760	0.00575433	ngram	2	0.00422681
, ende	190855		381710	0.00511096	ngram	2	0.00375423
van der	118889		237778	0.00318376	ngram	2	0.00233862
voorn .	111395		222790	0.00298308	ngram	2	0.0021912
, en	105081		210162	0.00281399	ngram	2	0.002067
Nots .	100739		201478	0.00269772	ngram	2	0.00198159
voor mij	100531		201062	0.00269215	ngram	2	0.0019775
de voorsz	99274		198548	0.00265849	ngram	2	0.00195278
presentie van	97717		195434	0.00261679	ngram	2	0.00192215
op de	97631		195262	0.00261449	ngram	2	0.00192046
voorss .	73705		147410	0.00197377	ngram	2	0.00144982
in de	72590		145180	0.00194391	ngram	2	0.00142789
der groe	72239		144478	0.00193451	ngram	2	0.00142098
de voorn	71700		143400	0.00192007	ngram	2	0.00141038
te hebben	71182		142364	0.0019062	ngram	2	0.00140019
van den	70301		140602	0.00188261	ngram	2	0.00138286
op den	65913		131826	0.0017651	ngram	2	0.00129655
binnen deser	61280		122560	0.00164103	ngram	2	0.00120541
, dat	60751		121502	0.00162687	ngram	2	0.00119501
, als	60679		121358	0.00162494	ngram	2	0.00119359
ter presentie	60126		120252	0.00161013	ngram	2	0.00118271
No .	59725		119450	0.00159939	ngram	2	0.00117483
te doen	59032		118064	0.00158083	ngram	2	0.00116119
groe Nots	55816		111632	0.00149471	ngram	2	0.00109793
als getuijgen	54273		108546	0.00145339	ngram	2	0.00106758
somme van	52403		104806	0.00140331	ngram	2	0.0010308
voor de	50283		100566	0.00134654	ngram	2	0.000989096
dat de	48484		96968	0.00129837	ngram	2	0.000953708
nots .	47186		94372	0.00126361	ngram	2	0.000928176
gul .	46999		93998	0.0012586	ngram	2	0.000924498
Compt .	46927		93854	0.00125667	ngram	2	0.000923081
d van	45207		90414	0.00121061	ngram	2	0.000889248
in presentie	44797		89594	0.00119963	ngram	2	0.000881183
de Heer	44558		89116	0.00119323	ngram	2	0.000876482
van dien	43933		87866	0.00117649	ngram	2	0.000864188
attestor rogatus	43250		86500	0.0011582	ngram	2	0.000850753
J :	43136		86272	0.00115515	ngram	2	0.00084851
, in	42939		85878	0.00114988	ngram	2	0.000844635
, de	42573		85146	0.00114007	ngram	2	0.000837436
dat hij	40764		81528	0.00109163	ngram	2	0.000801852
, soo	40442		80884	0.00108301	ngram	2	0.000795518
Quod attestor	39774		79548	0.00106512	ngram	2	0.000782378
bij desen	39746		79492	0.00106437	ngram	2	0.000781827
Compareerde voor	39663		79326	0.00106215	ngram	2	0.000780194
met een	39179		78358	0.00104919	ngram	2	0.000770674
bij den	37295		74590	0.000998733	ngram	2	0.000733614
als get.	36758		73516	0.000984353	ngram	2	0.000723051
de Winter	36656		73312	0.000981621	ngram	2	0.000721045
, die	35662		71324	0.000955003	ngram	2	0.000701492
ende dat	35367		70734	0.000947103	ngram	2	0.000695689
en de	34871		69742	0.00093382	ngram	2	0.000685933
van het	34459		68918	0.000922787	ngram	2	0.000677829
te sullen	34369		68738	0.000920377	ngram	2	0.000676058
Ao .	34298		68596	0.000918476	ngram	2	0.000674662
ende van	33719		67438	0.000902971	ngram	2	0.000663272
d '	33709		67418	0.000902703	ngram	2	0.000663076
van Holland	32875		65750	0.000880369	ngram	2	0.00064667
Compte .	32506		65012	0.000870487	ngram	2	0.000639412
te mogen	32003		64006	0.000857017	ngram	2	0.000629518
getuijgen hier	31034		62068	0.000831068	ngram	2	0.000610457
aan de	30896		61792	0.000827373	ngram	2	0.000607742
binnen dese	30685		61370	0.000821722	ngram	2	0.000603592
bij de	30632		61264	0.000820303	ngram	2	0.000602549
soude mogen	30457		60914	0.000815617	ngram	2	0.000599107
aen de	30378		60756	0.000813501	ngram	2	0.000597553
gls .	29966		59932	0.000802468	ngram	2	0.000589449
mits desen	29806		59612	0.000798183	ngram	2	0.000586301
met de	29681		59362	0.000794836	ngram	2	0.000583842
, te	29577		59154	0.000792051	ngram	2	0.000581797
door de	29553		59106	0.000791408	ngram	2	0.000581325
dese stad	29494		58988	0.000789828	ngram	2	0.000580164
H :	29406		58812	0.000787472	ngram	2	0.000578433
van alle	29323		58646	0.000785249	ngram	2	0.0005768
de somme	28657		57314	0.000767414	ngram	2	0.0005637
van Jan	28169		56338	0.000754346	ngram	2	0.000554101
in desen	28162		56324	0.000754158	ngram	2	0.000553963
fo .	28087		56174	0.00075215	ngram	2	0.000552488
deser stede	28050		56100	0.000751159	ngram	2	0.00055176
