PATTERN	COUNT	TOKENS	COVERAGE	CATEGORY	SIZE	FREQUENCY
de voorsz .	85303		255909	0.00342653	ngram	3	0.00270886
van der groe	69825		209475	0.00280479	ngram	3	0.00221735
de voorn .	61715		185145	0.00247902	ngram	3	0.00195981
der groe Nots	50239		150717	0.00201805	ngram	3	0.00159538
groe Nots .	47611		142833	0.00191248	ngram	3	0.00151192
ter presentie van	46711		140133	0.00187633	ngram	3	0.00148334
d van der	44096		132288	0.00177129	ngram	3	0.0014003
Quod attestor rogatus	37072		111216	0.00148914	ngram	3	0.00117725
Compareerde voor mij	33598		100794	0.0013496	ngram	3	0.00106693
binnen dese stad	24479		73437	0.000983295	ngram	3	0.000777349
: V :	24142		72426	0.000969758	ngram	3	0.000766648
de somme van	24019		72057	0.000964817	ngram	3	0.000762742
als getuijgen hier	23388		70164	0.000939471	ngram	3	0.000742704
Op huijden den	22532		67596	0.000905086	ngram	3	0.000715521
H. Schaef N.P.	22477		67431	0.000902877	ngram	3	0.000713774
van de voorsz	21731		65193	0.000872911	ngram	3	0.000690084
J : de	21535		64605	0.000865038	ngram	3	0.00068386
: de Winter	21146		63438	0.000849412	ngram	3	0.000671507
H : V	20529		61587	0.000824628	ngram	3	0.000651914
V : Heel	19442		58326	0.000780964	ngram	3	0.000617395
binnen deser stede	19278		57834	0.000774376	ngram	3	0.000612188
Hove van Holland	19036		57108	0.000764656	ngram	3	0.000604503
de Winter N.P.	18775		56325	0.000754171	ngram	3	0.000596214
in presentie van	18597		55791	0.000747021	ngram	3	0.000590562
presentie van de	18120		54360	0.000727861	ngram	3	0.000575414
voor mij Dirck	17736		53208	0.000712436	ngram	3	0.00056322
binnen Amsteldam in	17290		51870	0.000694521	ngram	3	0.000549057
te Amsteldam bij	17271		51813	0.000693757	ngram	3	0.000548454
Gepasseert binnen Amsteldam	17262		51786	0.000693396	ngram	3	0.000548168
den Hove van	17129		51387	0.000688053	ngram	3	0.000543944
ten behoeve van	16879		50637	0.000678011	ngram	3	0.000536005
oprecht gedaen t	16807		50421	0.000675119	ngram	3	0.000533719
bij den Hove	16787		50361	0.000674316	ngram	3	0.000533084
Notaris te Amsteldam	16636		49908	0.00066825	ngram	3	0.000528289
van Holland geadmitteert	16485		49455	0.000662185	ngram	3	0.000523494
vande voorsz .	16460		49380	0.00066118	ngram	3	0.0005227
t Amst .	16460		49380	0.00066118	ngram	3	0.0005227
in presentie vande	16182		48546	0.000650013	ngram	3	0.000513872
Amsteldam bij den	15671		47013	0.000629487	ngram	3	0.000497645
Compareerden voor mij	15659		46977	0.000629005	ngram	3	0.000497263
Dirck van der	15521		46563	0.000623462	ngram	3	0.000492881
voor mij Hermanus	15508		46524	0.00062294	ngram	3	0.000492468
van der Groe	15336		46008	0.000616031	ngram	3	0.000487006
ten behoeven van	14441		43323	0.000580079	ngram	3	0.000458585
den ondergess .	14054		42162	0.000564534	ngram	3	0.000446295
Heel Notaris te	13986		41958	0.000561803	ngram	3	0.000444136
etc. ende den	13708		41124	0.000550636	ngram	3	0.000435308
kind of kinderen	13578		40734	0.000545414	ngram	3	0.00043118
Ter presentie van	13476		40428	0.000541316	ngram	3	0.000427941
de voorss .	13455		40365	0.000540473	ngram	3	0.000427274
gedaen t Amst	13342		40026	0.000535934	ngram	3	0.000423685
mij Hermanus van	13326		39978	0.000535291	ngram	3	0.000423177
ende den ondergess	12834		38502	0.000515528	ngram	3	0.000407553
in dato den	12784		38352	0.000513519	ngram	3	0.000405966
Alles oprecht gedaen	12643		37929	0.000507856	ngram	3	0.000401488
Schaeff Nots .	12518		37554	0.000502835	ngram	3	0.000397519
Jacob de Winter	12351		37053	0.000496126	ngram	3	0.000392215
vande nabesz .	12347		37041	0.000495966	ngram	3	0.000392088
van de nabesz	11994		35982	0.000481786	ngram	3	0.000380879
alles te doen	11915		35745	0.000478613	ngram	3	0.00037837
hier toe versocht	11768		35304	0.000472708	ngram	3	0.000373702
Hermanus van Heel	11749		35247	0.000471945	ngram	3	0.000373098
getuijgen hier toe	11632		34896	0.000467245	ngram	3	0.000369383
mij Dirck van	11535		34605	0.000463349	ngram	3	0.000366303
groe nots .	11495		34485	0.000461742	ngram	3	0.000365032
presentie vande nabesz	11442		34326	0.000459613	ngram	3	0.000363349
van Heel Notaris	11222		33666	0.000450776	ngram	3	0.000356363
mij Jacob de	11210		33630	0.000450294	ngram	3	0.000355982
der groe nots	11044		33132	0.000443626	ngram	3	0.000350711
