Lemma,Soort,Standaard,Aangetroffen,URI
aambeeld,voorwerp,aambeeld,aambeeld,https://data.goldenagents.org/boedellexicon/voorwerp/aambeeld
aambeeld,voorwerp,aambeelden,aambeelden,https://data.goldenagents.org/boedellexicon/voorwerp/aambeeld
aanspreker,beroep,aanspreker,aenspreecker,https:/www.vondel.humanities.uva.nl/ecartico/occupations/880
aantrekker,voorwerp,aantrekker,antrecker,https://data.goldenagents.org/boedellexicon/voorwerp/aantrekker
aantrekker,voorwerp,aantrekkers,aentrekkers,https://data.goldenagents.org/boedellexicon/voorwerp/aantrekker
aap,dier,aap,aep,https://data.goldenagents.org/boedellexicon/dier/aap
aap,dier,apen,aepen,https://data.goldenagents.org/boedellexicon/dier/aap
aarde,stofnaam,aarde,aerde,https://data.goldenagents.org/boedellexicon/stofnaam/aarde
aarde,stofnaam,aarden,aerden,https://data.goldenagents.org/boedellexicon/stofnaam/aarde
aardewerk,voorwerp,aardewerk,aerde werck,https://data.goldenagents.org/boedellexicon/voorwerp/aardewerk
aardewerk,voorwerp,aardewerk,aardewerk,https://data.goldenagents.org/boedellexicon/voorwerp/aardewerk
aardewerk,voorwerp,aardewerk,aerdewerck,https://data.goldenagents.org/boedellexicon/voorwerp/aardewerk
aardewerk,voorwerp,aardewerk,aendewirk,https://data.goldenagents.org/boedellexicon/voorwerp/aardewerk
aardewerk,voorwerp,aardewerk,aadeweik,https://data.goldenagents.org/boedellexicon/voorwerp/aardewerk
Abigaïl,eigennaam,Abigaïl,Abigael,https://data.goldenagents.org/boedellexicon/eigennaam/Abigaïl
Abraham,eigennaam,Abraham,Abraham,https://data.goldenagents.org/boedellexicon/eigennaam/Abraham
Abraham,eigennaam,Abrahams,Abrahams,https://data.goldenagents.org/boedellexicon/eigennaam/Abraham
Abraham,eigennaam,Abrahams,Abrams,https://data.goldenagents.org/boedellexicon/eigennaam/Abraham
Abrahams offerande,voorstelling,Abrahams offerande,Abrahams offerhande,https://data.goldenagents.org/boedellexicon/voorstelling/Abrahams_offerande
acht,eenheid,acht,,https://data.goldenagents.org/boedellexicon/eenheid/acht
achterhuis,vertrek,achterhuis,,https://data.goldenagents.org/boedellexicon/vertrek/achterhuis
achterkamer,vertrek,achterkamer,achtercamer,https://data.goldenagents.org/boedellexicon/vertrek/achterkamer
achterkamer,vertrek,achterkamers,,https://data.goldenagents.org/boedellexicon/vertrek/achterkamer
achtkantige,eigenschap,achtkantige,achtcante,https://data.goldenagents.org/boedellexicon/eigenschap/achtkantige
achtkantige,eigenschap,achtkantige,achtcanten,https://data.goldenagents.org/boedellexicon/eigenschap/achtkantige
achtkantige,eigenschap,achtkantige,achtkant,https://data.goldenagents.org/boedellexicon/eigenschap/achtkantige
achtkantige,eigenschap,achtkantige,achtkante,https://data.goldenagents.org/boedellexicon/eigenschap/achtkantige
achttien,eenheid,achttien,,https://data.goldenagents.org/boedellexicon/eenheid/achttien
Adam,eigennaam,Adam,Adam,https://data.goldenagents.org/boedellexicon/eigennaam/Adam
adelborst,beroep,adelborst,,https:/www.vondel.humanities.uva.nl/ecartico/occupations/281
advocaat,beroep,advocaat,advocaet,https:/www.vondel.humanities.uva.nl/ecartico/occupations/310
advocaat,beroep,advocaten,advocaeten,https:/www.vondel.humanities.uva.nl/ecartico/occupations/310
afbeeldende,eigenschap,afbeeldende,affbeeldende,https://data.goldenagents.org/boedellexicon/eigenschap/afbeeldende
afbeelding,eigenschap,afbeelding,affbeeldinge,https://data.goldenagents.org/boedellexicon/eigenschap/afbeelding
afbeelding,eigenschap,afbeeldingen,,https://data.goldenagents.org/boedellexicon/eigenschap/afbeelding
afbeeldsel,eigenschap,afbeeldsel,afbeeltsel,https://data.goldenagents.org/boedellexicon/eigenschap/afbeeldsel
afbeeldsel,eigenschap,afbeeldsels,,https://data.goldenagents.org/boedellexicon/eigenschap/afbeeldsel
afzetter,beroep,afzetter,afsetter,https:/www.vondel.humanities.uva.nl/ecartico/occupations/330
agaat,stofnaam,agaat,,https://data.goldenagents.org/boedellexicon/stofnaam/agaat
agaat,stofnaam,agaten,agaate,https://data.goldenagents.org/boedellexicon/stofnaam/agaat
agaat,voorwerp,agaat,,https://data.goldenagents.org/boedellexicon/voorwerp/agaat
agaat,voorwerp,agaatje,agaetje,https://data.goldenagents.org/boedellexicon/voorwerp/agaat
agaat,voorwerp,agaatjes,agaatjens,https://data.goldenagents.org/boedellexicon/voorwerp/agaat
agaat,voorwerp,agaten,agaeten,https://data.goldenagents.org/boedellexicon/voorwerp/agaat
Agamemnon,eigennaam,Agamemnon,Agamemnon,https://data.goldenagents.org/boedellexicon/eigennaam/Agamemnon
Agricola,eigennaam,Agricola,Agricola,https://data.goldenagents.org/boedellexicon/eigennaam/Agricola
aker,voorwerp,aker,aecker,https://data.goldenagents.org/boedellexicon/voorwerp/aker
aker,voorwerp,akers,aackers,https://data.goldenagents.org/boedellexicon/voorwerp/aker
aker,voorwerp,akers,aeckers,https://data.goldenagents.org/boedellexicon/voorwerp/aker
albast,stofnaam,albast,,https://data.goldenagents.org/boedellexicon/stofnaam/albast
albast,stofnaam,albasten,alabaster,https://data.goldenagents.org/boedellexicon/stofnaam/albast
albast,stofnaam,albasten,alabasterde,https://data.goldenagents.org/boedellexicon/stofnaam/albast
albast,stofnaam,albasten,albastarde,https://data.goldenagents.org/boedellexicon/stofnaam/albast
albast,stofnaam,albasten,albaste,https://data.goldenagents.org/boedellexicon/stofnaam/albast
albast,stofnaam,albasten,albasten,https://data.goldenagents.org/boedellexicon/stofnaam/albast
albast,stofnaam,albasten,albaster,https://data.goldenagents.org/boedellexicon/stofnaam/albast
albast,stofnaam,albasten,albastere,https://data.goldenagents.org/boedellexicon/stofnaam/albast
albast,stofnaam,albasten,albastert,https://data.goldenagents.org/boedellexicon/stofnaam/albast
albast,stofnaam,albasten,albastre,https://data.goldenagents.org/boedellexicon/stofnaam/albast
albertijn,munt,albertijn,albertijn,https://data.goldenagents.org/boedellexicon/munt/albertijn
albertijn,munt,albertijnen,albertijnen,https://data.goldenagents.org/boedellexicon/munt/albertijn
allerhande,eenheid,allerhande,allerhande,https://data.goldenagents.org/boedellexicon/eenheid/allerhande
almenak,voorwerp,almenak,almalack,https://data.goldenagents.org/boedellexicon/voorwerp/almenak
almenak,voorwerp,almenak,almanach,https://data.goldenagents.org/boedellexicon/voorwerp/almenak
almenak,voorwerp,almenak,almenach,https://data.goldenagents.org/boedellexicon/voorwerp/almenak
almenak,voorwerp,almenakje,,https://data.goldenagents.org/boedellexicon/voorwerp/almenak
almenak,voorwerp,almenakjes,,https://data.goldenagents.org/boedellexicon/voorwerp/almenak
almenak,voorwerp,almenakken,,https://data.goldenagents.org/boedellexicon/voorwerp/almenak
almenakbordje,voorwerp,almenakbordje,almanachbortje,https://data.goldenagents.org/boedellexicon/voorwerp/almenakbordje
almenakbordje,voorwerp,almenakbordjes,,https://data.goldenagents.org/boedellexicon/voorwerp/almenakbordje
anatomia,titelwoord,anatomia,anatomia,https://data.goldenagents.org/boedellexicon/titelwoord/anatomia
anatomie,voorwerp,anatomie,,https://data.goldenagents.org/boedellexicon/voorwerp/anatomie
Andromeda,eigennaam,Andromeda,Andromeda,https://data.goldenagents.org/boedellexicon/eigennaam/Andromeda
Antheunis,eigennaam,Antheunis,Antheunis,https://data.goldenagents.org/boedellexicon/eigennaam/Antheunis
Antheunis,eigennaam,Antheunis,Antheunis,https://data.goldenagents.org/boedellexicon/eigennaam/Antheunis
antiek,eigenschap,antiek,antic,https://data.goldenagents.org/boedellexicon/eigenschap/antiek
antiek,eigenschap,antieke,anticque,https://data.goldenagents.org/boedellexicon/eigenschap/antiek
