Standaard,Aangetroffen
akers,aackers
aambeelden,Aambeelden
aardewerk,Aardewerk
Abigaïl,Abigael
Abraham,Abraham
Abrahams,Abrahams
Abrahams,Abrams
Achtkantige,Achtcante
Achtkantige,Achtcanten
achten,Achten
achterkamer,achtercamer
Achtkantige,Achtkant
Achtkantige,Achtkante
Adam,Adam
,Adona
aker,Aecker
akers,Aeckers
aap,Aep
apenrokjes,Aeprockjes
aarde,aerde
aardewerk,Aerdewerck
afbeeldsel,afbeeltsel
afbeeldende,affbeeldende 
afbeeldinge,affbeeldinge
agaten,Agaate
Agamemnon,Agamemnon
Agricola,Agricola
albasten,Alabaster
albasten,alabasterde
albasten,Albastarde
albasten,albaste
albasten,Albasten
albasten,Albaster
albasten,albastere
albasten,albastert
albasten,Albastre
albertijn,Albertijn
albertijnen,Albertijnen
allerhande,allerhande
almenak,Almalack
almenak,almanach 
almenakbordje,Almanachbortje
almenak,Almenach
anatomia,Anatomia
Andromeda,Andromeda
,Andromica
Antheunis,Antheunis
Antheunis,Antheunis
antiek/antieke,Antic
antiek/antieke,anticque 
antiek/antieke,Antijck
antiek/antieke,Antijxe
antiek/antieke,Antique
aantrekker,Antrecker
antiek/antieke,Antycks
antiek/antieke,Antyq
appelboren,appelboren
appelbrader,Appelbrader
armslagen,armslagen
asaker,Asaker
asbezem,asbeesem
asketel,Aschketel
aspot,Aspot
"aspot, tang, ketting",Aspottangketting
asschep,asschep
asschep,Asschop
asscheppen,Asschoppen
atlas,Atlas
atlas,Attlas
avegaars,avegaers
avondmaal,Avontmael
bakerdoekjes,Baackerdoekies
bakermat,baackermat
baar,Baar
Babel,Babel
Bachus,Bachus
Bachusfeest,Bachusfeest
bak,Back
bakaker,Backaecker
bakaker,Backaker
bakakertje,Backakertje
bakken,Backen
bakker,Backer
banketjes,Backetges
bakje,backje
bak,bak
balans,Balance
baliemand,Baliemandt
ballen,Ballen
Balthazar,Balthazar
baliemand,Balymandt
balijnen,Balyne
bank,Banck
banken,Bancken
banketje,Bancketge
banketje,Bancketje
banketschilderij,Bancketschilderije
banketschilderitje,bancketschilderijtge
banketschilderitje,bancketschilderijtje 
banketje,banckettjes
bankje,Banckje
banket,bancquet
banketje,bancquetge 
banketstuk,bancquetstuck
banketje,bancquettie
banketje,bancquettien
bandjes,Bandekens
bandelier,bandelier
bandeliers,Bandeliers
band,Bandt
banketbordjes,banketbordekens 
banketje,banketjen
bankrijksdaalders,Bankrijcxdaelders
bankschroeven,Bankschroeven
banket,banquet
banketje,banquetgen
banketschilderij,banquetschilderije
banket,banquett
bordje,bardeken
barnstenen,Barnsteene
barnstenen,barnsteenen
batalje,Bataelje
batalje,batajlle
batalje,Batalie
bataljeschilderij,batalieschilderij
batalje,batalitien
batalje,Batalje
batalje,Battalie
bekken,Becken
bekkentjes,Beckentjens
beker,becker
,Beckien
bed,Bedde
beddenkleed,Beddecleet
beddenkleed,Beddekleet
bedden,Bedden
beddenpan,beddepan
beddenzak,Beddesack
beddenzakken,Beddesakken
beddensprei,Beddespree
bedje,Beddetien
bedje,beddetjen
,Bedealers
bedje,bedje
beddenpan,Bedpan
beddenzak,Bedsak
bedstee,Bedstede
bedstee,Bedstee
bed,Bedt
bedje,Bedtje
beddenlakens,Bedtlaeckens
beddenpan,Bedtpan
beddensprei,bedtspree
beker,beecker
bekers,Beeckers
bekertje,Beeckertje
beeld,Beeld
beeldjes,beeldekens
beelden,Beelden
beeld,Beeldt
beeld,Beelt
beeltenis,Beeltenis
beeldje,Beeltge
beeldjes,beeltgens
