object,object_en
aackers,
Aambeelden,Anvils
Aardewerk,Pottery
Achten,
Aecker,
Aeckers,
Aeprockjes,
Aerdewerck,Pottery
afbeeltsel,
affbeeldinge,
Albertijn,
Albertijnen,
Almalack,Almanac
almanach ,Almanac
Almanachbortje,
Almenach,Almanac
Antrecker,
appelboren,Apple drills
Appelbrader,
armslagen,
Asaker,
asbeesem,
Aschketel,
Aspot,Ash pot
Aspottangketting,
asschep,Ash shovel
Asschop,Ash shovel
Asschoppen,
Atlas,Atlas
Attlas,Atlas
avegaers,
Baackerdoekies,
baackermat,
Baar,
Back,
Backaecker,
Backaker,
Backakertje,
Backen,
Backer,
Backetges,
backje,tray
bak,
Balance,
Baliemandt,
Ballen,
Balymandt,
Banck,
Bancken,
Bancketge,
Bancketje,
Bancketschilderije,Paiting of a banquet
bancketschilderijtge,Paiting of a banquet
bancketschilderijtje ,Paiting of a banquet
banckettjes,
Banckje,
bancquet,
bancquetge ,
bancquetstuck,
bancquettie,
bancquettien,
Bandekens,
bandelier,
Bandeliers,
Bandt,Strap
banketbordekens ,
banketjen,
Bankrijcxdaelders,
Bankschroeven,Vises
banquet,
banquetgen,
banquetschilderije,Paiting of a banquet
banquett,
bardeken,
Bataelje,
batajlle,
Batalie,
batalieschilderij,Paiting of a battle
batalitien,
Batalje,
Battalie,
Becken,
Beckentjens,
becker,
Beckien,
Bedde,
Beddecleet,Bed cover
Beddekleet,Bed cover
Bedden,
beddepan,Bed pan
Beddesack,
Beddesakken,
Beddespree,
Beddetien,
beddetjen,
bedje,Small bed
Bedpan,
Bedsak,
Bedstede,
Bedstee,
Bedt,Bed
Bedtje,Small bed
Bedtlaeckens,
Bedtpan,
bedtspree,
beecker,Cup
Beeckers,Cups
Beeckertje,
Beeld,Statue
beeldekens,
Beelden,Statues
Beeldt,Statue
Beelt,Statue
Beeltenis,
Beeltge,
beeltgens,
beeltie,
beeltiens,
Beeltje,
Beeltjens,
Beeltjes,
Beeltsels,
Beff,
Beffen,
Behanghsel,
Behangsel,
Beijtels,Chisels
bekerties,
Bekertjens,
bel,
Belblaeckers,
Bell,Bell
Belletje,Small bell
bellitjes,
Beslag,
Beslagh,
Besoorsteen,
bestevaertgen,
bestevaertje,
betielen,
betielens,
betieltiens,
Betpan,Bed pan
Beugel,
Beugels,
Beugelstoel,
Beugelstoelen,
Beugeltjes,
Beursgen,
Beursje,Purse
Beurssje,Purse
bevermoff,
Bierglaasen,Beer glasses
Bierglaesjens,
Bierkan,Beer can
Bijbel,Bible
bijbeltje,
blaasbalk,
blackertie,
Blaecker,Candlestick
Blaeckers,Candlesticks
Blaesbalck,
Blaker,Candlestick
blakerties,
Blakertje,
Blakertjes,
Blickwerck,
Blikwerk,
Block,
Bloembotjen,
bloemetjens,
bloemmantiens,
bloemmantjen,
bloempot,
Bloempotge,
bloempotgen,
Bloempotgens,
Bloempotje,
Bloempotjens,
bloempotschilderij,Painting of a flowerpot
bloempotschilderijen,Paintings of a flowerpot
Bloempotschilderijtje,Small painting of a flowerpot
bloempotschilderijtjens,Small paintings of a flowerpot
bloempottge,
bloempottje,
Bloemtuyn,
Blok,Block
Blokschaar,
Blommanties,
blommetjes,
blompot,
Blompoth,
Blompotien,
Blompotje,
Blompotjens,
blompotjes,
blompottge,
Boeck,Book
Boeckjens,
Boecxke,
Boecxkens,
Boeken,Books
Boere kermisse,
Boere kroegh,
boere schuijr,
Boerebanquet,
boerebruylofftje,
boerebruyloft,
Boerecoken,
boerecroegjes,
Boeredans,
Boeregesangh,
Boeregeselschap,
Boeregeselschapje,
boeregeselschapjens,
boerekaertspel,
Boerekermis,
Boerekeukentie,
Boerekoocken,
Boerekoockentje,
boeremaltijd ,
Boeren tapijt,
boerencokentge,
boerendans,
boerengesangh,
Boerengeselschapjens,
Boerenhuijs,
Boerenhuys,
boerenschuurtge,
Boereschotels,
boereschuyr,
boerevrijagie,
Boerinetronie,
boerinnetgen,
boeselaars,
boeselaersgoet,
Boeteljens,
Boeteljes,
boeterschotel,Butter dish
bokael ,Bowl
Bondeltje,
Bondeltjens,
Bont,Fur
Boommutsen,
Boord,Collar
booren,Drills
boorijsers,
boorschaven,
Boort,Collar
Boortgen,
Boortiens,
boot,
Bootje,
Bordeken,
Bordekens,
Borden,Plates
bordtje ,
Bordtjens,
borduerwerck ,embroidery
Boren,
boretges,
Borretge,
borretgens ,
Borretiens,
Borritges,
Borst,
Borstel,
Borsten,
Borstflesjes,
Borsthembtjens,
Borstkannetje,
Borstrock,Undervest
Borstrocken,Undervests
Borstrockjens,Small undervests
Borstrockjes,Small undervests
Borstroken,Undervests
borstrokken,Undervests
Bort,Plate
Borten,Plates
Bortge,
Bortgen,
Bortgens,
Bortges,
bortichis,
Bortien,
Bortiens,
Borties,
Bortje,
bortjen,
Bortjens,
Bortjes,
Borts,
Boschkruijtmaeten,
Bosgens,
Bosjens,
Bosschagieschilderij,
Bot,
boterpot,
Boterpotje,
Boterpotjens,
Boterschael,
boterscholtjes,
Boterschotel,Butter dish
boterschotelen,Butter dishes
Boterschotelgens,Small butter dishes
Boterschotels,Butter dishes
Boterschoteltjens,Small butter dishes
Botterpot,
Bouteljes,
Bouten,
Boutt,Bolt
Bouwen,
Bovenmutsje,
Braatpan,Casserole
Braedlepel,
Braedtpan,Casserole
Braedwerck,
braemijsers,
Braetpan,Casserole
Braetpanne,Casserole
Braetpannen,Casseroles
braetpannetje,Small casserole
Braetspit,Roasting spit
Bragoenen,
Branders,
Brandijser,
Brandijsers,
Brandtemmers,
Brandthout,
Brandtsacken,
Brantijser,
Brantje,
Brantjes,
Brantsacken,
Brantsakken,
brantschilderijtje ,
Brasaletten,Bracelet
Braselett,Bracelet
Brasetten,Bracelets
Brillen,Glasses
Broeckknoopen,
Broeijvat,
Broek,Pants
Broeken,Pants
Brood,Bread
Broodemantgen,Bread basket
Broodtmantie,Bread basket
Broot,Bread
Brootbacken,
Buegel,
buegelstocken,
Buffet,
Buickkussens,
Bundels,
Bundeltjens,
